MMSI,时间(Local),Unix时间戳,视觉类别,原始类别描述,原始类别编码,航行状态,纬度,经度,航速,航向,船首向,船长,船宽
413368420,2025-12-04 13:58:37,1764827917.038,other,其他-通用,90.0,,38.893813,117.845607,,306.5,511.0,49.0,18.0
413234450,2025-12-04 13:58:38,1764827918.531,other,其他-通用,90.0,在航(使用引擎),38.881133,117.845213,0.2,267.5,511.0,49.0,19.0
413424590,2025-12-04 13:58:39,1764827919.178,other,疏浚/水下作业,33.0,在航(使用引擎),38.915318,117.821518,0.1,360.0,511.0,45.0,18.0
4125001,2025-12-04 13:58:39,1764827919.807,other,Unknown,,,38.981425,117.805322,,,,,
414034000,2025-12-04 13:58:41,1764827921.975,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935128,117.802677,0.1,192.2,291.0,225.0,32.0
477637600,2025-12-04 13:58:45,1764827925.174,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.931427,118.04506,11.9,282.2,285.0,335.0,48.0
413285820,2025-12-04 13:58:47,1764827927.144,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.978837,117.768468,,102.3,295.0,167.0,25.0
413234450,2025-12-04 13:58:47,1764827927.954,other,其他-通用,90.0,在航(使用引擎),38.881133,117.845213,,267.5,511.0,49.0,19.0
413424590,2025-12-04 13:58:48,1764827928.801,other,疏浚/水下作业,33.0,在航(使用引擎),38.915325,117.821508,0.1,360.0,511.0,45.0,18.0
413305490,2025-12-04 13:58:49,1764827929.422,tug,拖轮(Tug),52.0,在航(使用引擎),38.935402,117.803047,1.9,207.3,511.0,40.0,10.0
413306190,2025-12-04 13:58:53,1764827933.831,tug,拖轮(Tug),52.0,在航(使用引擎),38.935947,117.800947,0.2,196.1,511.0,39.0,10.0
413506660,2025-12-04 13:58:56,1764827936.613,oil tanker,油轮-通用,80.0,,38.902053,117.852312,0.3,190.2,511.0,54.0,10.0
413424590,2025-12-04 13:58:58,1764827938.688,other,疏浚/水下作业,33.0,在航(使用引擎),38.915342,117.821497,0.1,360.0,511.0,45.0,18.0
413234450,2025-12-04 13:58:58,1764827938.846,other,其他-通用,90.0,在航(使用引擎),38.881133,117.845227,0.1,267.5,511.0,49.0,19.0
4125001,2025-12-04 13:58:59,1764827939.81,other,Unknown,,,38.981425,117.805325,,,,,
413305490,2025-12-04 13:58:59,1764827939.959,tug,拖轮(Tug),52.0,在航(使用引擎),38.93535,117.80302,1.3,199.9,511.0,40.0,10.0
414034000,2025-12-04 13:59:01,1764827941.156,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935127,117.802692,0.1,192.2,291.0,225.0,32.0
413208360,2025-12-04 13:59:01,1764827941.316,oil tanker,油轮-通用,80.0,,38.986312,117.793443,,333.1,511.0,52.0,9.0
311000193,2025-12-04 13:59:04,1764827944.833,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.945788,117.767518,,114.1,290.0,210.0,36.0
413424590,2025-12-04 13:59:08,1764827948.4,other,疏浚/水下作业,33.0,在航(使用引擎),38.915347,117.82149,0.1,360.0,511.0,45.0,18.0
413234450,2025-12-04 13:59:08,1764827948.505,other,其他-通用,90.0,在航(使用引擎),38.881137,117.845227,0.2,267.5,511.0,49.0,19.0
413305910,2025-12-04 13:59:09,1764827949.613,oil tanker,油轮-通用,80.0,,38.912555,117.861323,0.1,261.7,511.0,52.0,9.0
413305490,2025-12-04 13:59:09,1764827949.631,tug,拖轮(Tug),52.0,在航(使用引擎),38.93534,117.803033,0.8,171.2,511.0,40.0,10.0
